,nodos,número nodos adyacentes,pagerank,centralidad,comBPart
0,espald,1,0.00023352438819,0.0,0
1,santisim,2,0.000361289746623,0.0,1
2,ezequ,2,0.000391345139098,0.0,2
3,aun,17,0.000839196107286,0.000893552497279,1
4,abre,1,0.000180307925498,0.0,3
5,segund,6,0.000466686450386,0.000497490188824,4
6,abri,3,0.000180307925498,0.0,3
7,fuent,4,0.000400796620647,0.000141929125064,5
8,sirvient,1,0.000180307925498,0.0,1
9,hermon,1,0.000248839189106,0.0,6
10,jacob,20,0.00238998260096,0.00129047118257,0
11,viud,1,0.000475313648576,0.0,7
12,hanan,1,0.000180307925498,0.0,8
13,samari,1,0.000256146078228,0.0,0
14,pasur,1,0.000353968744135,0.0,8
15,horn,1,0.000180307925498,0.0,9
16,levadur,3,0.000391635918092,1.9629168709e-05,3
17,fuert,8,0.000976265724967,0.000215633255194,10
18,fuerz,2,0.000292331736869,5.9159010711e-06,7
19,asim,5,0.00037865216379,8.37470030913e-05,7
20,sacerdot,51,0.00236337314213,0.00801635365626,0
21,limpi,7,0.000966577880277,0.000637185377721,7
22,ruben,4,0.000397004981103,4.65092595071e-07,8
23,solemn,3,0.000405869786704,0.000123281369435,3
24,neg,1,0.000180307925498,0.0,5
25,vest,11,0.000962595791442,0.00323223340972,5
26,avergonz,1,0.000180307925498,0.0,11
27,ner,1,0.000353968744135,0.0,8
28,ceñ,1,0.000180307925498,0.0,12
29,med,5,0.00430383505354,0.0,1
30,mec,4,0.00042307466774,0.000466352079658,13
31,mensajer,3,0.000252101042667,0.0,0
32,met,4,0.000180307925498,0.0,10
33,cart,2,0.000380828780073,0.0,0
34,mes,24,0.00125428648883,0.00327053119087,4
35,pati,1,0.000180307925498,0.0,3
36,culp,1,0.000378828634839,0.0,13
37,interpret,3,0.000460982210952,0.000463318549388,1
38,escud,2,0.000180307925498,0.0,10
39,permit,1,0.00022335126142,0.0,0
40,carn,11,0.000935711218902,0.00115290075745,1
41,vasij,1,0.000180307925498,0.0,14
42,volunt,6,0.000509966573883,3.17276750063e-05,1
43,hamat,1,0.000237568779925,0.0,3
44,unic,1,0.000353968744135,0.0,8
45,jesucrist,4,0.000823981821798,0.000606116846862,4
46,tuvier,2,0.000211107148441,0.00042881610422,7
47,sarai,1,0.000180307925498,0.0,15
48,calz,1,0.000180307925498,0.0,10
49,faraon,13,0.00176908133394,0.000536849142296,0
50,joacim,4,0.000449713711089,1.26138662721e-05,2
51,music,3,0.000434576829859,0.00121949308361,2
52,puest,10,0.000417923967476,0.000492390733242,3
53,grieg,1,0.000384783417019,0.0,2
54,esdras,2,0.000243077189925,0.0,0
55,carmes,2,0.000754493725179,0.000923961398946,5
56,jamas,1,0.000210975538006,0.0,1
57,onic,1,0.000352322165693,0.0,5
58,faz,3,0.000180307925498,0.0,7
59,conf,1,0.000180307925498,0.0,1
60,repos,4,0.000529951284554,5.84511081004e-05,1
61,ambos,2,0.000406315185377,2.23248941712e-06,1
62,estatu,3,0.000407688946546,0.000493981462201,10
63,concib,1,0.000180307925498,0.0,1
64,enseñ,7,0.000230279109495,0.000129705940554,1
65,voy,2,0.000197824816088,8.44957840829e-07,8
66,intestin,1,0.0003449499327,0.0,5
67,far,1,0.000353968744135,0.0,8
68,gilbo,1,0.000248839189106,0.0,6
69,confin,1,0.000180307925498,0.0,7
70,manantial,1,0.000180307925498,0.0,3
71,hoz,1,0.000218642441133,0.0,10
